unix_second,mean_cpu_power_mW,n_samples
1788273197,44.8,5
1788273198,41.8,4
1788273199,43.8,5
1788273200,43.2,5
1788273201,48.6,5
1788273202,40.5,4
1788273203,40.2,5
1788273204,43.0,5
1788273205,41.2,5
1788273206,52.0,5
1788273207,38.5,4
1788273208,45.8,5
1788273209,40.0,5
1788273210,39.2,5
1788273211,54.8,4
1788273212,43.4,5
1788273213,39.2,5
1788273214,36.2,5
1788273215,42.0,5
1788273216,64.8,4
1788273217,40.2,5
1788273218,42.2,5
1788273219,42.8,5
1788273220,44.2,5
1788273221,48.2,4
1788273222,37.4,5
1788273223,39.2,5
1788273224,49.2,5
1788273225,40.2,4
1788273226,43.2,5
1788273227,49.0,5
1788273228,41.0,5
1788273229,36.2,5
1788273230,51.5,4
1788273231,44.2,5
1788273232,48.8,5
1788273233,47.6,5
1788273234,38.5,4
1788273235,46.0,5
1788273236,38.6,5
1788273237,42.8,5
1788273238,46.8,5
1788273239,66.8,4
1788273240,52.8,5
1788273241,55.6,5
1788273242,47.0,5
1788273243,50.0,5
1788273244,48.8,4
1788273245,60.4,5
1788273246,59.2,5
1788273247,41.0,5
1788273248,45.8,5
1788273249,45.2,4
1788273250,50.2,5
1788273251,65.4,5
1788273252,588.8,5
1788273253,906.8,5
1788273254,702.0,4
1788273255,202.0,5
1788273256,101.0,5
1788273257,222.0,5
1788273258,129.6,5
1788273259,105.5,4
1788273260,87.6,5
1788273261,98.2,5
1788273262,88.4,5
1788273263,87.0,5
1788273264,90.0,4
1788273265,94.0,5
1788273266,199.4,5
1788273267,90.4,5
1788273268,87.2,5
1788273269,67.0,4
1788273270,77.6,5
1788273271,78.8,5
1788273272,181.4,5
1788273273,134.2,5
1788273274,199.0,4
1788273275,163.0,5
1788273276,156.4,5
1788273277,153.8,5
1788273278,64.2,5
1788273279,150.8,4
1788273280,173.8,5
1788273281,148.4,5
1788273282,111.2,5
1788273283,70.0,5
1788273284,101.5,4
1788273285,66.0,5
1788273286,72.8,5
1788273287,155.2,5
1788273288,95.0,5
1788273289,190.8,4
1788273290,137.8,5
1788273291,98.0,5
1788273292,147.2,5
1788273293,121.8,5
1788273294,80.0,4
1788273295,141.2,5
1788273296,142.0,5
1788273297,136.8,5
1788273298,169.4,5
1788273299,163.2,4
1788273300,147.6,5
1788273301,69.0,5
1788273302,70.0,5
1788273303,176.2,5
1788273304,116.5,4
1788273305,135.4,5
1788273306,184.8,5
1788273307,80.6,5
1788273308,85.0,5
1788273309,95.0,4
1788273310,129.2,5
